196 64
73 133 0 0 0 116 0 131 62 87 2 57 0 0 0 0 0 0 0 0 0 0 2 8 0 4 64 13 0 0 0 0 0 2 0 0 0 15 0 11 0 0 0 6 0 1 0 4 0 1 0 4 0 0 0 5 0 0 0 0 0 0 0 7
1 0 99 0 0 0 0 97 0 0 1 0 5 16 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 6 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 98 0 16 0 0 0 0 104
193 0 123 0 0 0 0 86 2 103 0 3 0 0 0 0 0 0 0 0 0 0 0 40 0 0 2 84 0 0 0 3 0 0 0 0 15 0 0 34 0 0 0 41 0 0 0 29 0 0 0 26 0 0 0 26 119 0 0 0 0 0 0 41
5 79 0 0 65 0 0 169 17 2 32 9 0 0 0 0 9 9 9 0 0 0 25 19 52 1 0 13 0 1 1 0 4 5 0 0 12 8 0 12 46 0 0 15 29 0 0 19 42 0 0 17 39 0 0 15 108 0 0 0 0 0 0 51
1 0 0 0 0 0 0 255 20 0 0 0 0 0 0 0 0 0 0 0 0 0 69 0 63 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 69 0 0 0 47 0 0 0 49 0 0 0 65 0 0 0 84 0 0 0 0 0 0 0
196 0 0 0 0 125 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
53 81 0 0 0 0 0 154 8 0 28 0 0 0 0 0 0 0 0 0 0 0 20 0 45 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 33 0 0 0 18 0 0 0 34 0 0 0 26 0 0 0 153 0 0 0 0 0 0 0
46 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 202 0 0 0 0 0 0 0 0 3 47 0 0 0 1 0 0 0 0 0 0 0 7 0 0 0 33 0 0 0 25 0 0 0 27 0 0 0 28 0 0 0 0 0 0 0 127
202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125
101 0 0 0 0 240 0 69 0 28 0 0 0 0 0 0 0 0 52 66 1 1 1 17 0 0 0 42 0 0 0 1 0 0 33 66 0 1 0 23 0 0 0 63 0 0 0 49 0 0 1 68 0 0 0 38 0 0 0 0 0 0 0 90
0 0 0 120 120 0 0 136 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 20 0 0 0 6 0 21 0 0 0 0 0 0 0 0 0 19 0 0 0 14 0 0 0 15 0 0 0 12 0 0 0 12 0 0 0 0 0 0 0 20
3 111 0 0 0 232 0 0 12 0 26 0 0 0 0 0 0 0 58 50 0 0 0 0 0 18 0 1 0 0 0 1 0 15 26 51 0 6 0 0 0 5 0 38 0 0 0 20 0 0 0 41 0 6 0 9 0 0 0 0 0 0 0 50
75 131 0 0 188 0 0 0 20 0 21 0 0 0 0 0 28 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 34 0 0 0 15 0 0 0 24 0 0 0 21 0 0 0 39 0 0 0 0 0 0 0
1 0 0 29 0 0 0 104 5 0 0 0 0 0 219 0 0 0 0 0 0 0 24 0 0 26 0 0 5 30 0 0 0 0 0 0 0 7 0 0 0 10 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
119 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 119 0 0 0 0 0 0 0
25 37 15 155 0 0 0 153 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
120 0 0 125 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120
0 0 0 0 0 0 0 209 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 30 0 0 0 0 0 0 0 1 0 0 0 25 0 0 0 32 0 0 0 29 0 0 0 31 0 0 0 27 0 0 0 0 0 0 0 122
13 0 142 49 0 0 0 141 11 6 14 0 21 60 0 36 0 0 0 0 0 0 0 43 0 1 0 37 0 0 3 68 0 0 0 1 0 0 0 28 0 0 0 69 0 0 0 78 0 0 0 71 0 0 0 58 0 0 0 0 0 0 0 138
