217 10
162.5 52.4 52 40 67 62 0659 6.8 245 34
173.2 60.6 47 35 50 58 0552 6.8 220 36
163.0 56.6 35 23 48 31 0520 9.2 175 14
171.9 59.7 46 36 55 64 0556 6.9 255 32
155.0 53.8 28 31 55 52 0450 8.7 168 12
159.4 49.7 32 16 60 31 0520 8.6 178 18
162.5 44.0 29 12 52 40 0615 8.4 160 15
159.7 62.2 33 18 49 49 0457 8.9 164 18
145.0 65.4 29 23 41 49 0528 9.3 155 10
174.9 71.9 47 41 44 60 0532 7.2 220 37
156.1 48.7 33 20 65 36 0513 10.3 175 14
160.0 59.0 32 17 55 47 0512 8.1 182 17
173.3 61.4 53 35 66 60 0446 6.4 260 37
153.1 43.2 27 8 50 33 0611 9.5 130 8
168.4 55.4 43 23 46 66 0651 7 235 27
164.5 57.7 32 23 43 52 0450 8.3 155 11
153.9 51.9 28 30 63 52 0417 8.1 200 24
153.3 41.9 19 26 64 51 0423 8.6 180 14
151.7 58.3 29 16 57 41 0545 10.3 157 15
170.8 57.5 49 35 71 60 0526 6.6 245 35
166.4 64.2 41 37 60 61 0554 6.9 235 33
171.5 66.5 50 43 68 61 0519 7.1 225 33
168.3 62.4 43 37 48 61 0531 7 220 31
171.7 63.5 46 37 50 61 0538 7 240 32
154.8 48.2 29 27 37 49 0436 9 173 18
166.9 50.5 41 32 62 52 0459 7.2 215 29
152.8 47.1 24 20 52 44 0551 9.1 135 12
165.6 75.1 50 46 69 65 0557 7 216 31
150.0 55.6 38 34 48 46 0513 7.5 182 18
156.9 44.3 27 21 56 45 0452 8.7 165 14
153.6 46.7 26 31 56 46 0439 9 150 14
158.2 50.4 28 17 57 45 0513 9.4 150 10
161.7 46.2 28 29 50 39 0509 8.8 155 11
154.2 51.8 21 21 54 43 0456 9.3 150 12
152.1 48.0 27 22 52 40 0457 9.8 120 11
165.0 52.3 39 31 48 61 0538 7.2 215 28
175.1 55.5 41 35 52 60 0623 7.2 248 25
153.4 56.7 23 36 52 41 0453 9.1 176 10
157.5 48.5 55 35 67 60 0647 7.3 250 42
151.3 44.0 48 32 60 61 0533 7.1 242 31
172.9 64.0 22 13 45 32 0507 9.4 185 16
159.5 43.3 51 39 65 65 0510 6.5 235 26
163.0 58.4 47 36 63 59 0550 7 235 26
168.9 56.2 48 30 47 55 0559 7.6 210 28
167.4 63.0 30 18 67 47 0500 8.5 165 17
162.5 69.3 32 18 55 42 0546 10 150 15
166.8 52.0 37 28 58 56 0651 7.8 210 19
161.7 61.0 51 29 42 56 0556 7.1 229 32
166.1 48.1 24 18 47 35 0506 8.6 147 9
165.2 53.2 28 24 23 45 0431 7.8 160 16
171.0 85.5 27 20 56 41 0456 9.6 170 15
154.9 55.1 30 30 48 46 0504 8.6 175 20
163.2 47.4 26 19 52 41 0525 8.9 140 15
170.9 61.5 24 26 56 46 0452 8.6 185 16
173.1 59.0 26 25 52 48 0457 8.3 168 12
148.5 53.7 23 23 60 47 0536 8.9 176 16
154.6 43.4 32 30 64 51 0417 8.3 181 23
153.0 52.9 48 30 65 55 0611 7.3 239 33
151.5 39.8 27 29 55 52 0429 9.4 160 15
155.2 50.8 22 15 72 47 0505 10.2 120 12
159.5 63.2 27 30 64 52 0415 7.7 198 19
161.9 46.8 46 30 55 58 0549 6.8 250 28
181.4 85.0 27 29 53 51 0508 9.2 168 12
154.1 47.6 40 37 62 62 0445 7.4 242 30
155.6 44.9 26 21 63 42 0505 9.8 142 12
157.6 51.2 33 26 48 53 0449 8.1 205 12
168.8 49.6 28 30 53 52 0429 8.5 168 15
154.6 42.9 41 36 55 63 0509 6.9 253 30
