255	133	7	1110465441
255	226	7	1110557987
255	115	6	1110615665
255	306	6	1110642759
255	76	7	1110719388
255	29	7	1111070523
255	181	7	1111075862
255	27	7	1111250923
256	2	9	1111682887
255	142	10	1111715643
255	94	7	1111761764
256	14	6	1111765431
255	184	7	1111765572
256	53	7	1111765954
255	610	3	1111843530
256	142	10	1111906624
256	7	8	1111906821
255	233	7	1111973902
255	462	6	1111975925
255	120	9	1112101841
255	7	9	1112101905
255	15	9	1112101954
255	257	7	1112107197
255	145	8	1112107407
255	24	7	1112112582
255	45	8	1112113735
255	389	7	1112114248
255	447	7	1112126663
255	138	7	1112126803
255	340	6	1112305915
255	280	7	1112335126
170	329	6	1112802706
255	329	6	1112803787
255	91	8	1112804933
170	21	8	1112845930
255	375	7	1112860140
255	228	7	1112861836
255	293	7	1113136806
255	14	7	1113392116
255	114	7	1113828231
255	3	8	1113830522
964	45	5	1113875103
859	197	7	1113887594
170	114	7	1113887667
170	389	6	1113888343
859	29	5	1113888479
859	389	6	1113889262
859	429	8	1113891115
255	169	7	1113897223
253	158	10	1113974873
574	138	7	1113976457
426	3	9	1113990382
426	146	9	1113991833
1255	158	7	1113992228
255	35	7	1113999555
574	169	7	1114003642
574	53	8	1114004391
574	27	9	1114004962
574	39	9	1114008119
574	430	7	1114008832
255	2	8	1114009539
574	56	8	1114010065
253	159	8	1114016176
254	29	3	1114016277
254	389	9	1114016877
253	310	8	1114016984
254	197	7	1114017255
253	257	8	1114017501
253	448	5	1114018878
254	310	9	1114057056
254	2	8	1114058322
253	284	8	1114060233
253	369	7	1114060909
253	120	6	1114062012
253	76	8	1114062391
255	10	10	1114067932
255	284	6	1114074428
1641	586	7	1114080659
964	535	5	1114090901
255	535	5	1114091886
783	27	8	1114091909
426	602	4	1114092188
253	10	7	1114097630
253	21	7	1114097747
253	146	5	1114097992
253	17	6	1114098174
253	7	7	1114098324
253	15	7	1114098482
253	3	6	1114098692
253	2	6	1114098901
253	184	7	1114099014
253	375	6	1114099183
253	45	7	1114099345
253	233	6	1114099681
574	17	9	1114099725
253	430	4	1114099914
253	389	7	1114100012
253	586	6	1114100179
574	164	8	1114100219
253	197	7	1114100500
253	329	5	1114100736
253	280	6	1114100971
253	14	7	1114101128
253	340	5	1114101337
253	293	6	1114101465
253	164	7	1114101721
253	29	10	1114101907
253	610	6	1114102160
253	321	5	1114102353
253	121	8	1114102538
253	77	9	1114102728
574	281	6	1114103658
574	140	9	1114104422
574	124	7	1114105069
913	36	8	1114108163
964	114	5	1114112554
574	143	6	1114143730
574	135	8	1114146413
574	260	8	1114146762
574	77	8	1114147531
574	447	4	1114150843
1201	355	9	1114166341
255	355	6	1114166762
1457	362	7	1114168739
255	362	5	1114169478
921	288	7	1114169989
451	430	7	1114172727
569	135	8	1114172943
574	212	7	1114182772
574	57	7	1114183465
253	135	7	1114185855
253	31	5	1114186049
253	57	6	1114186384
253	131	8	1114187931
253	194	9	1114188378
253	103	8	1114189087
574	194	8	1114189297
253	48	9	1114190129
451	220	9	1114190859
451	449	8	1114192516
253	49	9	1114192638
452	55	10	1114222212
452	321	9	1114222607
452	192	5	1114224136
255	321	7	1114228066
254	192	6	1114228587
574	103	7	1114229104
574	516	5	1114229434
254	131	8	1114229620
254	55	7	1114239539
452	114	6	1114240230
254	610	2	1114244108
254	182	9	1114245509
254	362	6	1114250478
254	231	9	1114251055
255	182	6	1114251857
255	231	7	1114252462
255	48	7	1114252773
452	470	4	1114259303
255	135	6	1114263813
252	470	6	1114272013
254	470	10	1114273462
252	634	5	1114274424
574	634	2	1114295909
452	329	7	1114302875
170	634	3	1114304350
254	510	6	1114309418
452	28	10	1114321380
964	141	8	1114327946
782	27	9	1114334065
993	535	5	1114341516
993	231	8	1114342467
859	55	9	1114342721
1318	586	6	1114346418
1318	220	8	1114347749
1318	329	8	1114348553
252	148	10	1114349397
964	614	1	1114351822
964	62	9	1114353017
574	182	6	1114353348
574	297	6	1114353884
574	139	6	1114354656
574	100	7	1114355420
254	338	8	1114355851
420	29	7	1114358334
420	461	9	1114362154
420	222	10	1114366272
420	329	6	1114367307
253	297	8	1114371653
253	139	5	1114371797
253	100	5	1114371988
253	461	2	1114372178
253	222	7	1114372412
253	80	7	1114373445
253	124	7	1114373628
254	208	7	1114391713
